Title;Set x repetition / Execution time;Recovery time;Weight used;Image
Tapis roulant running;10 min;1 min 30 sec;12;tapis_roulant_running
Jumping jacks;5 min;2 min;12;jumping_jack
Push Up;4 x 8;1 min;12;push_up
Australian pull up;4 x 10;1 min;15;australian_pull_up
Sit Up;4 x 20;1 min;;sit_up
Jump squat;4 x 12;2 min;;jump_squat
Military press;4 x 8;45 sec;Your bodyweight x 1/5;military_press
Pull Up;5 x 6;1 min 30 sec;;pull_up
Bicycle crunch;5 x 1 min;1 min;;bicycle_crunch
Leg lunges;4 x 10 for both leg;1 min 30 sec;Your bodyweight x 1/5;leg_lunges
